Series_Title,IMDB_Rating,No_of_Votes
Stardust,7.6,255036
The Secret of Kells,7.6,31779
Inside Man,7.6,339757
Gone Baby Gone,7.6,250590
La Vie En Rose,7.6,82781
Huo Yuan Jia,7.6,72863
The Illusionist,7.6,354728
Dead Man's Shoes,7.6,49728
Harry Potter and the Half-Blood Prince,7.6,474827
300,7.6,732876
Match Point,7.6,206294
Watchmen,7.6,500799
Lord of War,7.6,294140
Saw,7.6,379020
"Synecdoche, New York",7.6,83158
Mysterious Skin,7.6,65939
Jeux d'enfants,7.6,67360
Un long dimanche de fiançailles,7.6,70925
The Station Agent,7.6,67370
21 Grams,7.6,224545
Boksuneun naui geot,7.6,62659
Finding Neverland,7.6,198677
25th Hour,7.6,169708
The Butterfly Effect,7.6,451479
28 Days Later...,7.6,376853
Batoru rowaiaru,7.6,169091
The Royal Tenenbaums,7.6,266842
Y tu mamá también,7.6,115827
Harry Potter and the Sorcerer's Stone,7.6,658185
The Others,7.6,337651
Blow,7.6,240714
Enemy at the Gates,7.6,243729
Minority Report,7.6,508417
The Hurricane,7.6,91557
American Psycho,7.6,490062
Lola rennt,7.6,188317
The Thin Red Line,7.6,172710
Mulan,7.6,256906
Fear and Loathing in Las Vegas,7.6,259753
Funny Games,7.6,65058
Dark City,7.6,187927
Sleepers,7.6,186734
Lost Highway,7.6,131101
Sense and Sensibility,7.6,102598
Die Hard: With a Vengeance,7.6,364420
Dead Man,7.6,90442
The Bridges of Madison County,7.6,73172
Apollo 13,7.6,269197
Trois couleurs: Blanc,7.6,64390
Falling Down,7.6,171640
Dazed and Confused,7.6,165465
My Cousin Vinny,7.6,107325
Omohide poro poro,7.6,27071
Delicatessen,7.6,80487
Home Alone,7.6,488817
The Godfather: Part III,7.6,359809
When Harry Met Sally...,7.6,195663
The Little Mermaid,7.6,237696
The Naked Gun: From the Files of Police Squad!,7.6,152871
"Planes, Trains & Automobiles",7.6,124773
Lethal Weapon,7.6,236894
Blood Simple,7.6,87745
On Golden Pond,7.6,27650
Mad Max 2,7.6,166588
The Warriors,7.6,93878
The Muppet Movie,7.6,32802
Escape from Alcatraz,7.6,121731
Watership Down,7.6,33656
Midnight Express,7.6,73662
Close Encounters of the Third Kind,7.6,184966
The Long Goodbye,7.6,26337
Giù la testa,7.6,30144
Kelly's Heroes,7.6,45338
The Jungle Book,7.6,166409
Blowup,7.6,56513
A Hard Day's Night,7.6,40351
Breakfast at Tiffany's,7.6,166544
Giant,7.6,34075
From Here to Eternity,7.6,43374
Lifeboat,7.6,26471
The 39 Steps,7.6,51853
